title,info
Avengers: Age of Ultron,"['toni', 'stark', 'tri', 'jumpstart', 'dormant', 'peacekeep', 'program', 'thing', 'awri', 'earth']['Action', 'Adventure', 'Science Fiction']"
Get Out,"['chris', 'weekend', 'girlfriend', 'rose', 'upstat', 'visit', 'parent', 'first', 'read', 'famili']['Mystery', 'Thriller', 'Horror']"
Psycho,"['marion', 'bate', 'larcen', 'real', 'estat', 'clerk', 'crane', 'goe', 'lam', 'wad']['Drama', 'Horror', 'Thriller']"
Fury,"['wardaddi', 'last', 'month', 'world', 'war', 'april', '1945', 'alli', 'make', 'final']['War', 'Drama', 'Action']"
Despicable Me 3,"['gru', 'wife', 'luci', 'must', 'stop', 'former', '80s', 'child', 'star', 'balthazar']['Action', 'Animation', 'Adventure', 'Family', 'Comedy']"
The Godfather: Part II,"['corleon', 'famili', 'continu', 'saga', 'crime', 'young', 'vito', 'grow', 'sicili', '1910s']['Drama', 'Crime']"
Rogue One: A Star Wars Story,"['rogu', 'band', 'resist', 'fighter', 'unit', 'mission', 'steal', 'death', 'star', 'plan']['Action', 'Adventure', 'Science Fiction']"
Lucy,"['woman', 'accident', 'caught', 'dark', 'deal', 'turn', 'tabl', 'captor', 'transform', 'merciless']['Action', 'Science Fiction']"
Life,"['sixmemb', 'crew', 'intern', 'space', 'station', 'task', 'studi', 'sampl', 'mar', 'may']['Horror', 'Science Fiction', 'Thriller']"
Miss Peregrine's Home for Peculiar Children,"['teenag', 'find', 'transport', 'island', 'must', 'help', 'protect', 'group', 'orphan', 'special']['Drama', 'Fantasy', 'Adventure']"
The Beguiled,"['civil', 'war', 'southern', 'girl', 'board', 'school', 'young', 'women', 'take', 'injur']['Drama', 'Western']"
Operation Mekong,"['chines', 'narcocop', 'take', 'mission', 'golden', 'triangl', 'follow', 'mekong', 'river', 'massacr']['Action', 'Adventure']"
Baywatch,"['devot', 'lifeguard', 'mitch', 'buchannon', 'butt', 'head', 'brash', 'new', 'recruit', 'togeth']['Action', 'Comedy']"
One Flew Over the Cuckoo's Nest,"['serv', 'time', 'insan', 'state', 'mental', 'hospit', 'implac', 'rabblerous', 'randl', 'patrick']['Drama']"
Thor: The Dark World,"['thor', 'fight', 'restor', 'order', 'across', 'cosmos…', 'ancient', 'race', 'led', 'veng']['Action', 'Adventure', 'Fantasy']"
A Silent Voice,"['shouya', 'shouko', 'start', 'class', 'ishida', 'bulli', 'new', 'girl', 'nishimiya', 'deaf']['Animation', 'Drama']"
Your Name.,"['mitsuha', 'taki', 'live', 'high', 'schooler', 'complet', 'stranger', 'live', 'separ', 'one']['Romance', 'Animation', 'Drama']"
Dilwale Dulhania Le Jayenge,"['raj', 'nri', 'simran', 'india', 'rich', 'carefre', 'happygolucki', 'second', 'generat', 'daughter']['Comedy', 'Drama', 'Romance']"
Me Before You,"['girl', 'man', 'becom', 'life', 'worth', 'live', 'togeth', 'small', 'town', 'caught']['Drama', 'Romance']"
The Mother of Tears,"['rome', 'ancient', 'urn', 'found', 'cemeteri', 'outsid', 'open', 'trigger', 'seri', 'violent']['Horror']"
The Twilight Saga: Eclipse,"['bella', 'vampir', 'decis', 'find', 'surround', 'danger', 'seattl', 'ravag', 'string', 'mysteri']['Adventure', 'Fantasy', 'Drama', 'Romance']"
Pacific Rim,"['kaiju', 'jaeger', 'two', 'mankind', 'legion', 'monstrous', 'creatur', 'known', 'start', 'rise']['Action', 'Science Fiction', 'Adventure']"
The Mummy,"['though', 'safe', 'entomb', 'crypt', 'deep', 'beneath', 'unforgiv', 'desert', 'ancient', 'queen']['Thriller', 'Action', 'Adventure']"
The Emoji Movie,"['emoji', 'gene', 'multiexpression', 'set', 'journey', 'becom', 'normal']['Comedy', 'Family', 'Animation']"
Rescue Under Fire,"['crew', 'helicopt', 'spanish', 'night', 'rescu', 'medic', 'suffer', 'accid', 'help', 'joint']['War']"
Creed,"['former', 'world', 'heavyweight', 'champion', 'rocki', 'balboa', 'serv', 'trainer', 'mentor', 'adoni']['Drama']"
The Matrix,"['set', '22nd', 'centuri', 'matrix', 'tell', 'stori', 'comput', 'hacker', 'join', 'group']['Action', 'Science Fiction']"
Fifty Shades of Grey,"['christian', 'ana', 'colleg', 'senior', 'anastasia', 'steel', 'step', 'sick', 'roommat', 'interview']['Drama', 'Romance', 'Thriller']"
Jurassic World,"['jurass', 'park', 'twentytwo', 'year', 'event', 'isla', 'nublar', 'featur', 'fulli', 'function']['Action', 'Adventure', 'Science Fiction', 'Thriller']"
Interstellar,"['interstellar', 'chronicl', 'adventur', 'group', 'explor', 'make', 'use', 'newli', 'discov', 'wormhol']['Adventure', 'Drama', 'Science Fiction']"
Once Upon a Time in America,"['former', 'prohibitionera', 'jewish', 'gangster', 'return', 'lower', 'east', 'side', 'manhattan', 'thirti']['Drama', 'Crime']"
The Lord of the Rings: The Fellowship of the Ring,"['ring', 'young', 'hobbit', 'frodo', 'baggin', 'inherit', 'mysteri', 'uncl', 'bilbo', 'must']['Adventure', 'Fantasy', 'Action']"
Edge of Tomorrow,"['cage', 'day', 'combat', 'alien', 'major', 'bill', 'offic', 'never', 'seen', 'unceremoni']['Action', 'Science Fiction']"
The Autopsy of Jane Doe,"['father', 'son', 'coron', 'receiv', 'mysteri', 'unidentifi', 'corps', 'appar', 'caus', 'death']['Horror', 'Mystery']"
The Hobbit: The Battle of the Five Armies,"['bilbo', 'dwarv', 'erebor', 'men', 'elv', 'immedi', 'event', 'desol', 'smaug', 'tri']['Action', 'Adventure', 'Fantasy']"
Star Wars: The Force Awakens,"['thirti', 'year', 'defeat', 'galact', 'empir', 'han', 'solo', 'alli', 'face', 'new']['Action', 'Adventure', 'Science Fiction', 'Fantasy']"
The Imitation Game,"['ture', 'base', 'real', 'life', 'stori', 'legendari', 'cryptanalyst', 'alan', 'film', 'portray']['History', 'Drama', 'Thriller', 'War']"
Batman v Superman: Dawn of Justice,"['hero', 'fear', 'action', 'godlik', 'super', 'left', 'uncheck', 'gotham', 'citi', 'formid']['Action', 'Adventure', 'Fantasy']"
Pirates of the Caribbean: At World's End,"['captain', 'barbossa', 'long', 'believ', 'dead', 'come', 'back', 'life', 'head', 'edg']['Adventure', 'Fantasy', 'Action']"
Collide,"['american', 'backpack', 'get', 'involv', 'ring', 'drug', 'smuggler', 'driver', 'wind', 'run']['Thriller', 'Action']"
Twilight,"['bella', 'edward', 'cullen', 'swan', 'move', 'small', 'town', 'pacif', 'northwest', 'live']['Adventure', 'Fantasy', 'Drama', 'Romance']"
The Amazing Spider-Man,"['peter', 'parent', 'father', 'connor', 'parker', 'outcast', 'high', 'schooler', 'abandon', 'boy']['Action', 'Adventure', 'Fantasy']"
Dunkirk,"['franc', 'miracul', 'evacu', 'alli', 'soldier', 'belgium', 'britain', 'canada', 'cut', 'surround']['Action', 'Drama', 'History', 'Thriller', 'War']"
Arrival,"['take', 'place', 'alien', 'craft', 'land', 'around', 'world', 'expert', 'linguist', 'recruit']['Thriller', 'Drama', 'Science Fiction', 'Mystery']"
12 Years a Slave,"['solomon', 'precivil', 'war', 'unit', 'state', 'northup', 'free', 'black', 'man', 'upstat']['Drama', 'History']"
Chappie,"['chappi', 'child', 'world', 'one', 'everi', 'come', 'full', 'promis', 'none', 'gift']['Crime', 'Action', 'Science Fiction']"
Terminator Genisys,"['john', 'futur', 'year', '2029', 'connor', 'leader', 'resist', 'continu', 'war', 'machin']['Science Fiction', 'Action', 'Thriller', 'Adventure']"
The House,"['scott', 'kate', 'johansen', 'daughter', 'get', 'colleg', 'dream', 'caus', 'celebr', 'learn']['Comedy']"
The Twilight Saga: New Moon,"['edward', 'greater', 'fork', 'washington', 'resid', 'bella', 'swan', 'reel', 'departur', 'vampir']['Adventure', 'Fantasy', 'Drama', 'Romance']"
Harry Potter and the Chamber of Secrets,"['ignor', 'threat', 'life', 'harri', 'return', 'hogwart', 'investig', 'aid', 'ron', 'hermion']['Adventure', 'Fantasy', 'Family']"
Pirates of the Caribbean: Dead Man's Chest,"['captain', 'jack', 'sparrow', 'work', 'way', 'blood', 'debt', 'ghost', 'davey', 'jone']['Adventure', 'Fantasy', 'Action']"
Kong: Skull Island,"['explor', 'mysteri', 'danger', 'home', 'king', 'ape', 'team', 'explor', 'ventur', 'deep']['Action', 'Adventure', 'Fantasy']"
The Lord of the Rings: The Two Towers,"['frodo', 'sam', 'trekk', 'mordor', 'destroy', 'one', 'ring', 'power', 'gim', 'legola']['Adventure', 'Fantasy', 'Action']"
Spider-Man,"['bitten', 'genet', 'alter', 'spider', 'nerdi', 'high', 'school', 'student', 'peter', 'parker']['Fantasy', 'Action']"
Mad Max: Fury Road,"['desert', 'man', 'action', 'woman', 'apocalypt', 'stori', 'set', 'furthest', 'reach', 'planet']['Action', 'Adventure', 'Science Fiction', 'Thriller']"
The Lord of the Rings: The Return of the King,"['aragorn', 'reveal', 'heir', 'ancient', 'king', 'gandalf', 'member', 'broken', 'fellowship', 'struggl']['Adventure', 'Fantasy', 'Action']"
Thor,"['thor', 'earth', 'father', 'odin', 'mighti', 'power', 'arrog', 'warrior', 'god', 'reckless']['Adventure', 'Fantasy', 'Action']"
Fifty Shades Darker,"['christian', 'wound', 'grey', 'tri', 'entic', 'cautious', 'ana', 'steel', 'back', 'life']['Drama', 'Romance']"
Inception,"['subconsci', 'cobb', 'skill', 'thief', 'commit', 'corpor', 'espionag', 'infiltr', 'target', 'offer']['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']"
Split,"['kevin', 'though', 'evidenc', 'person', 'trust', 'psychiatrist', 'fletcher', 'remain', 'one', 'still']['Horror', 'Thriller']"
X-Men: Apocalypse,"['reemerg', 'world', 'first', 'mutant', 'worlddestroy', 'apocalyps', 'xmen', 'must', 'unit', 'defeat']['Science Fiction']"
Batman Begins,"['driven', 'tragedi', 'billionair', 'bruce', 'wayn', 'dedic', 'life', 'uncov', 'defeat', 'corrupt']['Action', 'Crime', 'Drama']"
Harry Potter and the Prisoner of Azkaban,"['harri', 'face', 'ron', 'hermion', 'return', 'hogwart', 'anoth', 'magicfil', 'year', 'come']['Adventure', 'Fantasy', 'Family']"
The Saint,"['simon', 'intern', 'master', 'thief', 'templar', 'also', 'known', 'saint', 'ask', 'desper']['Action', 'Adventure', 'Crime']"
Kingsman: The Secret Service,"['stori', 'supersecret', 'spi', 'organ', 'recruit', 'unrefin', 'promis', 'street', 'kid', 'agenc']['Crime', 'Comedy', 'Action', 'Adventure']"
Diary of a Wimpy Kid: The Long Haul,"['heffley', 'famili', 'road', 'trip', 'attend', 'meemaw', '90th', 'birthday', 'parti', 'goe']['Comedy', 'Family']"
Pirates of the Caribbean: On Stranger Tides,"['jack', 'woman', 'past', 'blackbeard', 'captain', 'sparrow', 'cross', 'path', 'sure', 'love']['Adventure', 'Action', 'Fantasy']"
Insurgent,"['beatric', 'prior', 'must', 'confront', 'inner', 'demon', 'continu', 'fight', 'power', 'allianc']['Adventure', 'Science Fiction', 'Thriller']"
The Purge: Anarchy,"['tri', 'surviv', 'purg', 'three', 'group', 'peopl', 'night', 'stori', 'intertwin', 'left']['Horror', 'Thriller']"
Spider-Man 3,"['spiderman', 'seem', 'invinc', 'goe', 'allnew', 'crop', 'villain', 'includ', 'shapeshift', 'sandman']['Fantasy', 'Action', 'Adventure']"
Assassin's Creed,"['unlock', 'genet', 'memori', 'allow', 'reliv', 'adventur', 'ancestor', '15th', 'centuri', 'spain']['Action', 'Adventure', 'Science Fiction']"
Sex Tape,"['video', 'one', 'privat', 'jay', 'anni', 'first', 'got', 'togeth', 'romant', 'connect']['Comedy']"
Furious 7,"['deckard', 'shaw', 'seek', 'reveng', 'domin', 'toretto', 'famili', 'comatos', 'brother']['Action']"
